Cell	Plate Number	Classification	Percent_Mitochondrial	Clusters
X001_1	P1	engaging	9.33773053255568	0
X002_1	P1	engaging	10.788370705997	6
X003_1	P1	engaging	18.5650896148763	0
X004_1	P1	engaging	27.0248112537168	2
X006_1	P1	engaging	21.4947272757731	2
X007_1	P1	engaging	17.013862807448	0
X008_1	P1	engaging	21.3730377019392	2
X009_1	P1	engaging	17.2121169374325	0
X010_1	P1	engaging	14.2235278446721	0
X012_1	P1	engaging	25.7332433874687	0
X013_1	P1	engaging	17.7082969709471	0
X019_1	P1	engaging	18.531083549413	2
X020_1	P1	engaging	8.93617401083551	0
X022_1	P1	engaging	19.3132758697958	0
X025_1	P1	engaging	17.8485856905158	0
X026_1	P1	engaging	8.00297987595231	3
X027_1	P1	engaging	13.1490057293646	0
X028_1	P1	engaging	14.0773413309799	0
X029_1	P1	engaging	19.4981484342891	0
X030_1	P1	engaging	17.1371215164789	0
X031_1	P1	engaging	12.7538744397756	0
X032_1	P1	engaging	20.9319579477665	0
X033_1	P1	engaging	14.6464670319289	2
X035_1	P1	engaging	19.1620294322036	2
X038_1	P1	engaging	18.0277345024846	0
X040_1	P1	engaging	19.4281940257292	2
X042_1	P1	engaging	24.1309740217003	2
X043_1	P1	engaging	15.2728720688113	0
X044_1	P1	engaging	19.8338525441329	0
X046_1	P1	engaging	23.5857553715517	0
X049_1	P1	engaging	13.3373340703543	3
X050_1	P1	engaging	7.90623367055859	2
X051_1	P1	engaging	26.3862939989537	0
X052_1	P1	engaging	23.6155694796831	4
X055_1	P1	engaging	8.26161303986317	0
X056_1	P1	engaging	9.72563869803121	6
X057_1	P1	engaging	16.8564165058038	2
X058_1	P1	engaging	19.0500225848297	0
X059_1	P1	engaging	25.6897895557288	0
X061_1	P1	engaging	22.3759099933819	0
X064_1	P1	engaging	9.7936716748598	0
X066_1	P1	engaging	18.575235084609	0
X068_1	P1	engaging	15.7554197276961	2
X069_1	P1	engaging	15.9551078880369	0
X070_1	P1	engaging	5.08482031582187	4
X071_1	P1	engaging	12.5444240997471	2
X073_1	P1	engaging	6.73738605891222	2
X074_1	P1	engaging	8.89855267349585	4
X076_1	P1	engaging	18.341102716605	0
X077_1	P1	engaging	21.2173215688222	2
X078_1	P1	engaging	15.5661464104161	3
X079_1	P1	engaging	20.1399284763805	0
X080_1	P1	engaging	11.8335195900391	0
X081_1	P1	engaging	16.4593992669509	0
X082_1	P1	engaging	18.5332247820642	0
X083_1	P1	engaging	18.9245255539162	0
X084_1	P1	engaging	13.1732331225467	0
X087_1	P1	engaging	11.4879534224537	0
